"id","competition_id","competition_code","name","sub_type","type","country_id","country_name","domestic_league_code","confederation","url","is_major_national_league"
"94","CIT","italy-cup","italy-cup",,"domestic_cup",,"Italy",,,,
"95","NLSC","johan-crui","johan-cruijff-schaal",,"other",,"Netherlands",,,,
"96","GRP","kypello-el","kypello-elladas",,"domestic_cup",,"Greece",,,,
"97","POSU","supertaca-","supertaca-candido-de-oliveira",,"other",,"Portugal",,,,
"98","RUSS","russian-su","russian-super-cup",,"other",,"Russia",,,,
"99","SUC","supercopa","supercopa",,"other",,"Spain",,,,
"100","USC","uefa-super","uefa-super-cup",,"international_cup",,,,,,
"101","DK1","superligae","superligaen",,"domestic_league",,"Denmark",,,,
"102","EL","europa-lea","europa-league",,"international_cup",,,,,,
"103","ES1","laliga","laliga",,"domestic_league",,"Spain",,,,
"104","FR1","ligue-1","ligue-1",,"domestic_league",,"France",,,,
"105","IT1","serie-a","serie-a",,"domestic_league",,"Italy",,,,
"106","NL1","eredivisie","eredivisie",,"domestic_league",,"Netherlands",,,,
"107","RUP","russian-cu","russian-cup",,"domestic_cup",,"Russia",,,,
"108","PO1","liga-portu","liga-portugal-bwin",,"domestic_league",,"Portugal",,,,
"109","BESC","belgian-su","belgian-supercup",,"other",,"Belgium",,,,
"110","GB1","premier-le","premier-league",,"domestic_league",,"England",,,,
"111","UCOL","uefa-confe","uefa-conference-league",,"international_cup",,,,,,
"112","ELQ","europa-lea","europa-league-qualifikation",,"international_cup",,,,,,
"113","CGB","efl-cup","efl-cup",,"other",,"England",,,,
"114","DKP","sydbank-po","sydbank-pokalen",,"domestic_cup",,"Denmark",,,,
"115","ECLQ","uefa-europ","uefa-europa-conference-league-qualifikation",,"international_cup",,,,,,
"116","FAC","fa-cup","fa-cup",,"domestic_cup",,"England",,,,
"117","NLP","toto-knvb-","toto-knvb-beker",,"domestic_cup",,"Netherlands",,,,
"118","UKRS","ukrainian-","ukrainian-super-cup",,"other",,"Ukraine",,,,
"119","UKR1","premier-li","premier-liga",,"domestic_league",,"Ukraine",,,,
"120","CDR","copa-del-r","copa-del-rey",,"domestic_cup",,"Spain",,,,
"121","CL","uefa-champ","uefa-champions-league",,"international_cup",,,,,,
"122","GR1","super-leag","super-league-1",,"domestic_league",,"Greece",,,,
"123","TR1","super-lig","super-lig",,"domestic_league",,"Turkey",,,,
"124","POCP","allianz-cu","allianz-cup",,"domestic_cup",,"Portugal",,,,
"125","GBCS","community-","community-shield",,"other",,"England",,,,
"126","KLUB","fifa-klub-","fifa-klub-wm",,"other",,,,,,
"127","L1","bundesliga","bundesliga",,"domestic_league",,"Germany",,,,
"128","RU1","premier-li","premier-liga",,"domestic_league",,"Russia",,,,
"129","SC1","scottish-p","scottish-premiership",,"domestic_league",,"Scotland",,,,
"130","SCI","supercoppa","supercoppa-italiana",,"other",,"Italy",,,,
"131","BE1","jupiler-pr","jupiler-pro-league",,"domestic_league",,"Belgium",,,,
"132","CLQ","uefa-champ","uefa-champions-league-qualifikation",,"international_cup",,,,,,
"133","DFL","dfl-superc","dfl-supercup",,"other",,"Germany",,,,
"134","SFA","sfa-cup","sfa-cup",,"domestic_cup",,"Scotland",,,,
"135","UKRP","ukrainian-","ukrainian-cup",,"domestic_cup",,"Ukraine",,,,
"136","DFB","dfb-pokal","dfb-pokal",,"domestic_cup",,"Germany",,,,
"137","FRCH","trophee-de","trophee-des-champions",,"other",,"France",,,,