,height_in_cm,pac,acceleration,sprint_speed,positioning,finishing,shot_power,long_shots,volleys,penalties,vision,crossing,free_kick_accuracy,short_passing,long_passing,curve,dribbling,agility,balance,reactions,ball_control,composure,interceptions,heading_accuracy,def_awareness,standing_tackle,sliding_tackle,jumping,stamina,strength,aggression,weight_in_kg,is_CDM
height_in_cm,1.0,-0.41550657600973323,-0.5150678091132749,-0.3031529515661263,-0.3748968664604421,-0.29428757186338733,-0.16035696965259172,-0.32941808672572404,-0.26245189759035487,-0.1959521272496773,-0.37742767217620543,-0.47581450978090045,-0.37704569696245116,-0.17536769069138963,-0.15722162923680189,-0.43821594777987866,-0.4406748569930783,-0.6562755352422321,-0.7694028172749934,-0.016608028359081782,-0.31358918543500014,-0.07815887212453845,0.13253251411618602,0.5484215370668855,0.16366860306238343,0.14738103724559798,0.13748713373407337,0.45108641830747637,-0.1160609317693228,0.6585577390828088,0.22757423378510255,0.7162436284876005,0.009794577652045262
pac,-0.41550657600973323,1.0,0.9491425512208632,0.9657140033932663,0.42229256901316514,0.3579170821531855,0.2206509015053142,0.2933722648832668,0.2911214906242792,0.19091343898202076,0.27962288137546454,0.4125604771882695,0.19896627746327486,0.11074862399467673,-0.022090549061119354,0.3606085460934849,0.5104775492496391,0.6972628196535624,0.5566832370015925,0.11307331405042176,0.35472283650271486,0.08610835150237031,-0.28038868977307746,-0.2835274907279899,-0.29464644895446196,-0.2763415171508313,-0.2685625343081596,0.10010768963992055,0.26879698786840084,-0.3112847235450165,-0.226196832859091,-0.3756127515279838,-0.18722795433388456
acceleration,-0.5150678091132749,0.9491425512208632,1.0,0.8359785871670375,0.45896288682049813,0.3918273423014469,0.2327264090612424,0.3363293509572217,0.3258867486523763,0.22310785161480878,0.3303942432596907,0.46199724768457817,0.26269873869684673,0.13661812915308158,0.012224127586149875,0.41539823972618684,0.5514357805361777,0.7672512842554069,0.6473686915195803,0.10073516453427972,0.3875095207740486,0.09130712491276682,-0.2860937890288344,-0.37118974298388135,-0.3083350335976749,-0.2884695679467969,-0.279557213371529,0.017593677110005212,0.26973544349546624,-0.4075027723746597,-0.26159127397700704,-0.4589877157807266,-0.15666979448935914
sprint_speed,-0.3031529515661263,0.9657140033932663,0.8359785871670375,1.0,0.3607663561176945,0.3029593626039017,0.19355768713114094,0.23582013117599163,0.23981494564759662,0.15006260577528696,0.2170729402441029,0.3412294537486447,0.13142136712945107,0.08100708559765464,-0.04852978161146522,0.2884699044615928,0.4385468980204089,0.5874653643465226,0.44039208965467486,0.1144340382891792,0.3010334908184766,0.07530843418302795,-0.25465270089347153,-0.19048189067614818,-0.2613101693741666,-0.2453889765788638,-0.2392307013161391,0.1603543956967877,0.24758343048936676,-0.20874850496848701,-0.18067691947850348,-0.279844874164847,-0.19795487638580617
positioning,-0.3748968664604421,0.42229256901316514,0.45896288682049813,0.3607663561176945,1.0,0.8689419001215182,0.7156509601054037,0.8198655547091942,0.788347192404996,0.6885521843898671,0.7688049656355344,0.6188217546902784,0.6442316988382106,0.4603436411887331,0.25578350696720964,0.7288108519400194,0.8080228741137986,0.5922703027799041,0.4897580307486229,0.408025712786582,0.7266178320004819,0.484339333010643,-0.38420933663732015,-0.11472043855185032,-0.4087166403957144,-0.41594288391718004,-0.44174504886039206,0.02761254179568242,0.28810377862140135,-0.20467474820364895,-0.13016786360011876,-0.2624841730625992,-0.031274275042403
finishing,-0.29428757186338733,0.3579170821531855,0.3918273423014469,0.3029593626039017,0.8689419001215182,1.0,0.7689355971413439,0.8618898969137789,0.8631363613208778,0.794087402481199,0.6873499968884973,0.45315211604386246,0.642781093175209,0.36992670197479083,0.15602181581734656,0.6547172946876209,0.7219494551850478,0.5235994697377141,0.41218599295880093,0.33510369376552385,0.6572808342345765,0.43326600870735055,-0.5401889239024558,-0.08268059939872255,-0.5565803281397032,-0.5696804549007424,-0.5996896990160299,0.03414392331441676,0.18042689115676244,-0.17417088100222955,-0.2311254133519238,-0.1875677785813718,-0.05198852039882055
shot_power,-0.16035696965259172,0.2206509015053142,0.2327264090612424,0.19355768713114094,0.7156509601054037,0.7689355971413439,1.0,0.8479908516368643,0.7693475242531079,0.6926482598459819,0.6613736220898666,0.47145845223412625,0.6710262545902608,0.5043323310045243,0.3520892807169454,0.6576267455564591,0.6471334874108988,0.3759564872745008,0.27234873050807673,0.476752579745733,0.6578669250509673,0.5732948595277422,-0.2526920433985139,0.10158757346395365,-0.25823626309175624,-0.2839340015387367,-0.31545207769705214,0.19063811276172538,0.254509543998801,0.0494254805004427,0.0483458867421313,-0.021513967655654456,0.04344531968329236
long_shots,-0.32941808672572404,0.2933722648832668,0.3363293509572217,0.23582013117599163,0.8198655547091942,0.8618898969137789,0.8479908516368643,1.0,0.8230390451269235,0.7275982708007427,0.7569036819009974,0.5622537660982498,0.7792224066449918,0.49603251893694744,0.3530216851197721,0.7496336541586661,0.7360339805870454,0.5239859767779,0.427151196365557,0.40183816718827897,0.6953932378066299,0.5137824767821872,-0.32205141067682974,-0.0933241745435225,-0.34627337008992676,-0.3587951006032737,-0.3894266042005634,0.015369356177953576,0.2611184985633796,-0.1514808286833274,-0.09045350147123266,-0.19697502560882305,0.05218457984196947
volleys,-0.26245189759035487,0.2911214906242792,0.3258867486523763,0.23981494564759662,0.788347192404996,0.8631363613208778,0.7693475242531079,0.8230390451269235,1.0,0.7868940835592073,0.6545471948457755,0.4609915481328457,0.6763722045410322,0.3800959684918182,0.1830373156127473,0.6838284030227239,0.6668777878932587,0.4792004490188226,0.38118648750347167,0.3611345647946975,0.6247762193943345,0.4743943859032518,-0.4667348977408559,-0.025524235517486355,-0.4787815614490874,-0.5001353574405291,-0.5301665669579434,0.06310449638166048,0.1630051083935372,-0.1275198407922239,-0.16293485081660594,-0.13967914938278717,-0.05382051282393864
penalties,-0.1959521272496773,0.19091343898202076,0.22310785161480878,0.15006260577528696,0.6885521843898671,0.794087402481199,0.6926482598459819,0.7275982708007427,0.7868940835592073,1.0,0.5622991654404035,0.35872534214303226,0.6417428907090768,0.3195942456768433,0.1332451136965225,0.5735389440870174,0.55741291420618,0.35909845741895396,0.28276890489657525,0.307075144617669,0.5399162512683443,0.4202002211221366,-0.46390945658127136,0.02733059112965328,-0.4700157439677891,-0.494302271481451,-0.5230529583385122,0.07521488162691965,0.10321739577876882,-0.07983999494224898,-0.1737687547616658,-0.08524893560612802,-0.02806614300289467
vision,-0.37742767217620543,0.27962288137546454,0.3303942432596907,0.2170729402441029,0.7688049656355344,0.6873499968884973,0.6613736220898666,0.7569036819009974,0.6545471948457755,0.5622991654404035,1.0,0.6888122744797364,0.7010384337721802,0.7149570042641396,0.6175799202960326,0.765392791931227,0.79632901845865,0.5611945074099133,0.4900339708478103,0.5320260393118521,0.8000813353060509,0.6492312119157032,-0.05342928562326901,-0.14318907046404872,-0.08038998314032397,-0.08989067439319696,-0.12452411609147988,-0.06229361344637402,0.34330611080472756,-0.21392404215936772,0.028674921855600007,-0.2779665026475663,0.12032624440345534
crossing,-0.47581450978090045,0.4125604771882695,0.46199724768457817,0.3412294537486447,0.6188217546902784,0.45315211604386246,0.47145845223412625,0.5622537660982498,0.4609915481328457,0.35872534214303226,0.6888122744797364,1.0,0.6237190910614977,0.5685853501904287,0.5195994319241644,0.7895325394220545,0.7260101702524264,0.5935079885806995,0.5439172775373403,0.40018348956056327,0.6593800990439563,0.45687816878216525,0.08727626198425656,-0.2420774625670435,0.06618878159260998,0.06679180305987793,0.058551911931848166,-0.0952240072953459,0.35434074840609164,-0.29915298114983674,0.028082199941313172,-0.36351769412950324,-0.019498466654449566
free_kick_accuracy,-0.37704569696245116,0.19896627746327486,0.26269873869684673,0.13142136712945107,0.6442316988382106,0.642781093175209,0.6710262545902608,0.7792224066449918,0.6763722045410322,0.6417428907090768,0.7010384337721802,0.6237190910614977,1.0,0.5025990483353047,0.4478563978363383,0.7929808880704323,0.6234843806148612,0.47919212439724357,0.437971466182722,0.3438010970199439,0.6071404048393996,0.4770888416595748,-0.13016356202300983,-0.18954374379238795,-0.15395322724069976,-0.16265911376919948,-0.1868591599543552,-0.11582099857964241,0.2419077116366649,-0.2231285610161893,-0.04969514572627346,-0.24668482857665336,0.045068514769891856
short_passing,-0.17536769069138963,0.11074862399467673,0.13661812915308158,0.08100708559765464,0.4603436411887331,0.36992670197479083,0.5043323310045243,0.49603251893694744,0.3800959684918182,0.3195942456768433,0.7149570042641396,0.5685853501904287,0.5025990483353047,1.0,0.8400954811889896,0.5605695689167535,0.6365922048721973,0.33328111757501544,0.29654784860013284,0.7506329869228296,0.80626445249634,0.7475077168764387,0.3319844492082285,0.13841692185375412,0.3212719539653706,0.30221285611498866,0.26802909194779845,0.1502611579087158,0.4154701222034928,0.02608782116548391,0.3238494620871526,-0.1037642384998614,0.16234637610251018
long_passing,-0.15722162923680189,-0.022090549061119354,0.012224127586149875,-0.04852978161146522,0.25578350696720964,0.15602181581734656,0.3520892807169454,0.3530216851197721,0.1830373156127473,0.1332451136965225,0.6175799202960326,0.5195994319241644,0.4478563978363383,0.8400954811889896,1.0,0.46334428934847327,0.45223415322057553,0.22314156652025358,0.2307081543945126,0.5835515909769579,0.5954339247748802,0.6235176182791318,0.5114168855221308,0.0540122014515853,0.49193550274951964,0.4842574946649574,0.4589969105252721,0.029262932423975152,0.3738324000761393,0.007882412988135986,0.38343316589576304,-0.10729853585454448,0.2178646720033795
curve,-0.43821594777987866,0.3606085460934849,0.41539823972618684,0.2884699044615928,0.7288108519400194,0.6547172946876209,0.6576267455564591,0.7496336541586661,0.6838284030227239,0.5735389440870174,0.765392791931227,0.7895325394220545,0.7929808880704323,0.5605695689167535,0.46334428934847327,1.0,0.767718772613542,0.599116664366716,0.528548313179396,0.4166847933700558,0.7165478691525159,0.5436376703086929,-0.11441062239075211,-0.21249560338950457,-0.13526112481755154,-0.14413698425275792,-0.16635562322099712,-0.08454688283403418,0.3049789848693366,-0.26905428082894156,-0.04043772762814305,-0.30801909911632397,-0.003654968588831375
dribbling,-0.4406748569930783,0.5104775492496391,0.5514357805361777,0.4385468980204089,0.8080228741137986,0.7219494551850478,0.6471334874108988,0.7360339805870454,0.6668777878932587,0.55741291420618,0.79632901845865,0.7260101702524264,0.6234843806148612,0.6365922048721973,0.45223415322057553,0.767718772613542,1.0,0.6912470410686744,0.5745680585140136,0.5039513197973543,0.8789228611911653,0.5783778199113316,-0.19712343664260543,-0.18656400771081422,-0.2196271755202109,-0.21979582397888334,-0.2418203382574891,-0.015927842862927113,0.328044658993061,-0.2777706878084702,-0.07833212444228152,-0.33351948967822714,0.021998822534687986
agility,-0.6562755352422321,0.6972628196535624,0.7672512842554069,0.5874653643465226,0.5922703027799041,0.5235994697377141,0.3759564872745008,0.5239859767779,0.4792004490188226,0.35909845741895396,0.5611945074099133,0.5935079885806995,0.47919212439724357,0.33328111757501544,0.22314156652025358,0.599116664366716,0.6912470410686744,1.0,0.7979587645368749,0.2056006705913688,0.5555550564272794,0.27469566339671164,-0.2419388520157871,-0.44032921612571974,-0.2673194013961739,-0.2649579435486111,-0.26748513746136815,-0.1800013614357838,0.29333307241477696,-0.5074525849866073,-0.22751213095954848,-0.5610813354735181,-0.04373340716941282
balance,-0.7694028172749934,0.5566832370015925,0.6473686915195803,0.44039208965467486,0.4897580307486229,0.41218599295880093,0.27234873050807673,0.427151196365557,0.38118648750347167,0.28276890489657525,0.4900339708478103,0.5439172775373403,0.437971466182722,0.29654784860013284,0.2307081543945126,0.528548313179396,0.5745680585140136,0.7979587645368749,1.0,0.1514669213544678,0.4617983118849572,0.22291617876233533,-0.15180153222448264,-0.47972595248401684,-0.17937814993286874,-0.16836352874620922,-0.16709402609537546,-0.301395754555956,0.2416572558192945,-0.5768650845584435,-0.19016061470477044,-0.6480618546842073,-0.010562020607036605
reactions,-0.016608028359081782,0.11307331405042176,0.10073516453427972,0.1144340382891792,0.408025712786582,0.33510369376552385,0.476752579745733,0.40183816718827897,0.3611345647946975,0.307075144617669,0.5320260393118521,0.40018348956056327,0.3438010970199439,0.7506329869228296,0.5835515909769579,0.4166847933700558,0.5039513197973543,0.2056006705913688,0.1514669213544678,1.0,0.6859206951630207,0.7776549126021819,0.28974692853559647,0.38585516557558386,0.2948698326329381,0.25229848228553525,0.21738117195130682,0.40696725844446535,0.4336512709101528,0.2459084670186979,0.4241236111949027,0.06342456658670426,0.034905692258541246
ball_control,-0.31358918543500014,0.35472283650271486,0.3875095207740486,0.3010334908184766,0.7266178320004819,0.6572808342345765,0.6578669250509673,0.6953932378066299,0.6247762193943345,0.5399162512683443,0.8000813353060509,0.6593800990439563,0.6071404048393996,0.80626445249634,0.5954339247748802,0.7165478691525159,0.8789228611911653,0.5555550564272794,0.4617983118849572,0.6859206951630207,1.0,0.7212912391693946,-0.03745922168208811,0.008830467480689318,-0.051434457642620696,-0.06700877580038928,-0.09871686375392619,0.10872973932320136,0.37029304792918394,-0.12268589552088877,0.08049783280012751,-0.22061649836586694,0.06267528303710275
composure,-0.07815887212453845,0.08610835150237031,0.09130712491276682,0.07530843418302795,0.484339333010643,0.43326600870735055,0.5732948595277422,0.5137824767821872,0.4743943859032518,0.4202002211221366,0.6492312119157032,0.45687816878216525,0.4770888416595748,0.7475077168764387,0.6235176182791318,0.5436376703086929,0.5783778199113316,0.27469566339671164,0.22291617876233533,0.7776549126021819,0.7212912391693946,1.0,0.18603797044964065,0.27529477686130593,0.19682073724572324,0.15021409478116612,0.11263011880115528,0.3008017367585385,0.37768506807354607,0.18444686648721584,0.35144141164549464,0.023260270531424574,0.06793804486363925
interceptions,0.13253251411618602,-0.28038868977307746,-0.2860937890288344,-0.25465270089347153,-0.38420933663732015,-0.5401889239024558,-0.2526920433985139,-0.32205141067682974,-0.4667348977408559,-0.46390945658127136,-0.05342928562326901,0.08727626198425656,-0.13016356202300983,0.3319844492082285,0.5114168855221308,-0.11441062239075211,-0.19712343664260543,-0.2419388520157871,-0.15180153222448264,0.28974692853559647,-0.03745922168208811,0.18603797044964065,1.0,0.20620318506859395,0.9455301444537311,0.9543293817566236,0.945780155222379,0.12632893418016136,0.28832306545522585,0.24445289206017778,0.6333756317533928,0.10776561207810087,0.21632193930461083
heading_accuracy,0.5484215370668855,-0.2835274907279899,-0.37118974298388135,-0.19048189067614818,-0.11472043855185032,-0.08268059939872255,0.10158757346395365,-0.0933241745435225,-0.025524235517486355,0.02733059112965328,-0.14318907046404872,-0.2420774625670435,-0.18954374379238795,0.13841692185375412,0.0540122014515853,-0.21249560338950457,-0.18656400771081422,-0.44032921612571974,-0.47972595248401684,0.38585516557558386,0.008830467480689318,0.27529477686130593,0.20620318506859395,1.0,0.2427235223098556,0.19827076455161827,0.18864584077347132,0.8075148302449005,0.08830070415607162,0.6941912212401974,0.4620001497579437,0.5465355405810823,-0.009685196216600456
def_awareness,0.16366860306238343,-0.29464644895446196,-0.3083350335976749,-0.2613101693741666,-0.4087166403957144,-0.5565803281397032,-0.25823626309175624,-0.34627337008992676,-0.4787815614490874,-0.4700157439677891,-0.08038998314032397,0.06618878159260998,-0.15395322724069976,0.3212719539653706,0.49193550274951964,-0.13526112481755154,-0.2196271755202109,-0.2673194013961739,-0.17937814993286874,0.2948698326329381,-0.051434457642620696,0.19682073724572324,0.9455301444537311,0.2427235223098556,1.0,0.9417857754657776,0.9392576780218653,0.15658071561802342,0.2781081389324583,0.2773770851526749,0.6346132974766041,0.14242051307132186,0.20887433875088804
standing_tackle,0.14738103724559798,-0.2763415171508313,-0.2884695679467969,-0.2453889765788638,-0.41594288391718004,-0.5696804549007424,-0.2839340015387367,-0.3587951006032737,-0.5001353574405291,-0.494302271481451,-0.08989067439319696,0.06679180305987793,-0.16265911376919948,0.30221285611498866,0.4842574946649574,-0.14413698425275792,-0.21979582397888334,-0.2649579435486111,-0.16836352874620922,0.25229848228553525,-0.06700877580038928,0.15021409478116612,0.9543293817566236,0.19827076455161827,0.9417857754657776,1.0,0.9764279228713736,0.1149750031805656,0.2608674265545725,0.23799792250652724,0.6297620973053449,0.11645397881039649,0.2057239586132707
sliding_tackle,0.13748713373407337,-0.2685625343081596,-0.279557213371529,-0.2392307013161391,-0.44174504886039206,-0.5996896990160299,-0.31545207769705214,-0.3894266042005634,-0.5301665669579434,-0.5230529583385122,-0.12452411609147988,0.058551911931848166,-0.1868591599543552,0.26802909194779845,0.4589969105252721,-0.16635562322099712,-0.2418203382574891,-0.26748513746136815,-0.16709402609537546,0.21738117195130682,-0.09871686375392619,0.11263011880115528,0.945780155222379,0.18864584077347132,0.9392576780218653,0.9764279228713736,1.0,0.10450946868656366,0.24332481001924544,0.22144714314250216,0.610608015051185,0.10249535507497226,0.20175059921472546
jumping,0.45108641830747637,0.10010768963992055,0.017593677110005212,0.1603543956967877,0.02761254179568242,0.03414392331441676,0.19063811276172538,0.015369356177953576,0.06310449638166048,0.07521488162691965,-0.06229361344637402,-0.0952240072953459,-0.11582099857964241,0.1502611579087158,0.029262932423975152,-0.08454688283403418,-0.015927842862927113,-0.1800013614357838,-0.301395754555956,0.40696725844446535,0.10872973932320136,0.3008017367585385,0.12632893418016136,0.8075148302449005,0.15658071561802342,0.1149750031805656,0.10450946868656366,1.0,0.29903305745678044,0.8019357398965612,0.4438863534855556,0.5127374043583568,-0.05121719472969429
stamina,-0.1160609317693228,0.26879698786840084,0.26973544349546624,0.24758343048936676,0.28810377862140135,0.18042689115676244,0.254509543998801,0.2611184985633796,0.1630051083935372,0.10321739577876882,0.34330611080472756,0.35434074840609164,0.2419077116366649,0.4154701222034928,0.3738324000761393,0.3049789848693366,0.328044658993061,0.29333307241477696,0.2416572558192945,0.4336512709101528,0.37029304792918394,0.37768506807354607,0.28832306545522585,0.08830070415607162,0.2781081389324583,0.2608674265545725,0.24332481001924544,0.29903305745678044,1.0,0.17843133342544532,0.3390668811177398,-0.061951442162154424,0.14908083890835153
strength,0.6585577390828088,-0.3112847235450165,-0.4075027723746597,-0.20874850496848701,-0.20467474820364895,-0.17417088100222955,0.0494254805004427,-0.1514808286833274,-0.1275198407922239,-0.07983999494224898,-0.21392404215936772,-0.29915298114983674,-0.2231285610161893,0.02608782116548391,0.007882412988135986,-0.26905428082894156,-0.2777706878084702,-0.5074525849866073,-0.5768650845584435,0.2459084670186979,-0.12268589552088877,0.18444686648721584,0.24445289206017778,0.6941912212401974,0.2773770851526749,0.23799792250652724,0.22144714314250216,0.8019357398965612,0.17843133342544532,1.0,0.5130876881618591,0.724648215219902,0.053610070274657556
aggression,0.22757423378510255,-0.226196832859091,-0.26159127397700704,-0.18067691947850348,-0.13016786360011876,-0.2311254133519238,0.0483458867421313,-0.09045350147123266,-0.16293485081660594,-0.1737687547616658,0.028674921855600007,0.028082199941313172,-0.04969514572627346,0.3238494620871526,0.38343316589576304,-0.04043772762814305,-0.07833212444228152,-0.22751213095954848,-0.19016061470477044,0.4241236111949027,0.08049783280012751,0.35144141164549464,0.6333756317533928,0.4620001497579437,0.6346132974766041,0.6297620973053449,0.610608015051185,0.4438863534855556,0.3390668811177398,0.5130876881618591,1.0,0.2936423823506797,0.18559041963859813
weight_in_kg,0.7162436284876005,-0.3756127515279838,-0.4589877157807266,-0.279844874164847,-0.2624841730625992,-0.1875677785813718,-0.021513967655654456,-0.19697502560882305,-0.13967914938278717,-0.08524893560612802,-0.2779665026475663,-0.36351769412950324,-0.24668482857665336,-0.1037642384998614,-0.10729853585454448,-0.30801909911632397,-0.33351948967822714,-0.5610813354735181,-0.6480618546842073,0.06342456658670426,-0.22061649836586694,0.023260270531424574,0.10776561207810087,0.5465355405810823,0.14242051307132186,0.11645397881039649,0.10249535507497226,0.5127374043583568,-0.061951442162154424,0.724648215219902,0.2936423823506797,1.0,-0.0019197081367979185
is_CDM,0.009794577652045262,-0.18722795433388456,-0.15666979448935914,-0.19795487638580617,-0.031274275042403,-0.05198852039882055,0.04344531968329236,0.05218457984196947,-0.05382051282393864,-0.02806614300289467,0.12032624440345534,-0.019498466654449566,0.045068514769891856,0.16234637610251018,0.2178646720033795,-0.003654968588831375,0.021998822534687986,-0.04373340716941282,-0.010562020607036605,0.034905692258541246,0.06267528303710275,0.06793804486363925,0.21632193930461083,-0.009685196216600456,0.20887433875088804,0.2057239586132707,0.20175059921472546,-0.05121719472969429,0.14908083890835153,0.053610070274657556,0.18559041963859813,-0.0019197081367979185,1.0
