,height_in_cm,pac,acceleration,sprint_speed,positioning,finishing,shot_power,long_shots,volleys,penalties,vision,crossing,free_kick_accuracy,short_passing,long_passing,curve,dribbling,agility,balance,reactions,ball_control,composure,interceptions,heading_accuracy,def_awareness,standing_tackle,sliding_tackle,jumping,stamina,strength,aggression,weight_in_kg,is_RB
height_in_cm,1.0,-0.41550657600973273,-0.515067809113278,-0.30315295156612704,-0.3748968664604442,-0.29428757186338694,-0.16035696965259136,-0.329418086725724,-0.2624518975903556,-0.1959521272496771,-0.3774276721762076,-0.47581450978089845,-0.37704569696245205,-0.17536769069138677,-0.15722162923680014,-0.43821594777987766,-0.4406748569930777,-0.6562755352422324,-0.7694028172749936,-0.016608028359078087,-0.31358918543499964,-0.07815887212453657,0.13253251411618777,0.5484215370668878,0.16366860306238526,0.14738103724559937,0.13748713373407442,0.45108641830747886,-0.1160609317693235,0.6585577390828088,0.22757423378510452,0.716243628487603,-0.12969601494579902
pac,-0.41550657600973273,1.0,0.9491425512208695,0.9657140033932661,0.42229256901316675,0.35791708215318235,0.22065090150531408,0.29337226488326684,0.29112149062427917,0.19091343898201918,0.2796228813754627,0.41256047718826877,0.19896627746327497,0.11074862399467619,-0.022090549061119385,0.36060854609348486,0.5104775492496391,0.6972628196535595,0.5566832370015923,0.11307331405042159,0.3547228365027144,0.08610835150236981,-0.2803886897730772,-0.28352749072798894,-0.29464644895446107,-0.27634151715083055,-0.2685625343081598,0.10010768963992078,0.2687969878684005,-0.3112847235450172,-0.22619683285909056,-0.3756127515279823,0.15704208621211638
acceleration,-0.515067809113278,0.9491425512208695,1.0,0.8359785871670381,0.45896288682050007,0.3918273423014474,0.23272640906124314,0.3363293509572224,0.325886748652376,0.22310785161480934,0.3303942432596917,0.46199724768457967,0.26269873869684685,0.13661812915308136,0.012224127586149873,0.41539823972618917,0.5514357805361799,0.7672512842554079,0.6473686915195787,0.10073516453427993,0.38750952077405015,0.09130712491276682,-0.2860937890288362,-0.3711897429838807,-0.3083350335976771,-0.2884695679467973,-0.2795572133715305,0.017593677110005323,0.26973544349546746,-0.4075027723746612,-0.2615912739770073,-0.45898771578072445,0.15253629840690291
sprint_speed,-0.30315295156612704,0.9657140033932661,0.8359785871670381,1.0,0.3607663561176935,0.30295936260390166,0.19355768713114055,0.23582013117599288,0.23981494564759717,0.15006260577528602,0.21707294024410193,0.34122945374864444,0.13142136712945157,0.08100708559765352,-0.04852978161146539,0.2884699044615937,0.438546898020408,0.5874653643465207,0.4403920896546747,0.11443403828917895,0.301033490818477,0.07530843418302825,-0.2546527008934711,-0.19048189067614774,-0.2613101693741662,-0.24538897657886344,-0.2392307013161379,0.16035439569678842,0.24758343048936646,-0.20874850496848757,-0.18067691947850312,-0.27984487416484605,0.1488911545519682
positioning,-0.3748968664604442,0.42229256901316675,0.45896288682050007,0.3607663561176935,1.0,0.868941900121522,0.7156509601054034,0.8198655547091965,0.7883471924049972,0.6885521843898628,0.7688049656355302,0.6188217546902799,0.6442316988382143,0.460343641188736,0.25578350696721136,0.7288108519400156,0.8080228741138016,0.5922703027799003,0.489758030748625,0.4080257127865822,0.7266178320004831,0.4843393330106426,-0.38420933663731904,-0.1147204385518504,-0.4087166403957139,-0.4159428839171812,-0.4417450488603908,0.027612541795682524,0.2881037786214021,-0.20467474820364873,-0.13016786360011848,-0.26248417306259864,0.023724618091586186
finishing,-0.29428757186338694,0.35791708215318235,0.3918273423014474,0.30295936260390166,0.868941900121522,1.0,0.7689355971413415,0.8618898969137805,0.8631363613208791,0.7940874024811954,0.6873499968884981,0.45315211604386313,0.6427810931752118,0.3699267019747888,0.15602181581734567,0.6547172946876221,0.7219494551850459,0.5235994697377133,0.41218599295880015,0.3351036937655231,0.6572808342345777,0.43326600870734866,-0.540188923902454,-0.08268059939872263,-0.556580328139702,-0.5696804549007425,-0.5996896990160283,0.03414392331441634,0.18042689115676164,-0.17417088100222897,-0.23112541335192283,-0.18756777858137086,-0.14179315505650195
shot_power,-0.16035696965259136,0.22065090150531408,0.23272640906124314,0.19355768713114055,0.7156509601054034,0.7689355971413415,1.0,0.847990851636864,0.7693475242531109,0.6926482598459767,0.6613736220898657,0.4714584522341254,0.6710262545902571,0.5043323310045258,0.35208928071694473,0.6576267455564574,0.6471334874108975,0.37595648727449993,0.27234873050807634,0.4767525797457329,0.6578669250509713,0.5732948595277407,-0.25269204339851287,0.1015875734639541,-0.2582362630917571,-0.28393400153873705,-0.315452077697051,0.19063811276172501,0.25450954399880094,0.049425480500442674,0.04834588674213141,-0.02151396765565387,-0.1356922962866098
long_shots,-0.329418086725724,0.29337226488326684,0.3363293509572224,0.23582013117599288,0.8198655547091965,0.8618898969137805,0.847990851636864,1.0,0.8230390451269267,0.7275982708007409,0.756903681900994,0.5622537660982494,0.7792224066449924,0.4960325189369472,0.3530216851197718,0.7496336541586656,0.7360339805870479,0.5239859767779017,0.4271511963655568,0.40183816718827897,0.695393237806633,0.5137824767821891,-0.32205141067682896,-0.09332417454352267,-0.346273370089927,-0.358795100603274,-0.3894266042005629,0.01536935617795331,0.26111849856338026,-0.15148082868332732,-0.09045350147123266,-0.1969750256088229,-0.11295192434604867
volleys,-0.2624518975903556,0.29112149062427917,0.325886748652376,0.23981494564759717,0.7883471924049972,0.8631363613208791,0.7693475242531109,0.8230390451269267,1.0,0.7868940835592034,0.6545471948457733,0.4609915481328457,0.676372204541032,0.38009596849182,0.18303731561274827,0.6838284030227206,0.6668777878932547,0.4792004490188223,0.3811864875034744,0.36113456479469663,0.6247762193943354,0.4743943859032532,-0.4667348977408587,-0.025524235517486303,-0.4787815614490881,-0.5001353574405304,-0.5301665669579477,0.06310449638166031,0.16300510839353646,-0.12751984079222475,-0.16293485081660647,-0.1396791493827867,-0.14432036213797755
penalties,-0.1959521272496771,0.19091343898201918,0.22310785161480934,0.15006260577528602,0.6885521843898628,0.7940874024811954,0.6926482598459767,0.7275982708007409,0.7868940835592034,1.0,0.5622991654403998,0.35872534214303176,0.6417428907090752,0.31959424567684214,0.13324511369652206,0.5735389440870182,0.5574129142061788,0.3590984574189506,0.2827689048965758,0.30707514461766877,0.5399162512683431,0.42020022112213495,-0.4639094565812704,0.02733059112965343,-0.4700157439677878,-0.4943022714814507,-0.523052958338509,0.07521488162691937,0.10321739577876918,-0.07983999494224849,-0.17376875476166467,-0.08524893560612747,-0.16589582546366174
vision,-0.3774276721762076,0.2796228813754627,0.3303942432596917,0.21707294024410193,0.7688049656355302,0.6873499968884981,0.6613736220898657,0.756903681900994,0.6545471948457733,0.5622991654403998,1.0,0.6888122744797364,0.7010384337721776,0.7149570042641402,0.6175799202960333,0.7653927919312256,0.7963290184586509,0.5611945074099116,0.4900339708478118,0.5320260393118503,0.8000813353060471,0.6492312119157013,-0.05342928562326898,-0.14318907046404833,-0.0803899831403236,-0.0898906743931969,-0.12452411609147962,-0.06229361344637421,0.3433061108047283,-0.2139240421593675,0.02867492185560003,-0.2779665026475655,-0.03663917403391089
crossing,-0.47581450978089845,0.41256047718826877,0.46199724768457967,0.34122945374864444,0.6188217546902799,0.45315211604386313,0.4714584522341254,0.5622537660982494,0.4609915481328457,0.35872534214303176,0.6888122744797364,1.0,0.6237190910614961,0.5685853501904284,0.5195994319241652,0.7895325394220571,0.7260101702524266,0.5935079885806984,0.543917277537342,0.400183489560564,0.6593800990439543,0.45687816878216553,0.08727626198425616,-0.24207746256704316,0.0661887815926098,0.06679180305987775,0.05855191193184827,-0.09522400729534582,0.35434074840609214,-0.2991529811498361,0.02808219994131334,-0.36351769412950463,0.23273323322112818
free_kick_accuracy,-0.37704569696245205,0.19896627746327497,0.26269873869684685,0.13142136712945157,0.6442316988382143,0.6427810931752118,0.6710262545902571,0.7792224066449924,0.676372204541032,0.6417428907090752,0.7010384337721776,0.6237190910614961,1.0,0.5025990483353026,0.44785639783634146,0.7929808880704305,0.6234843806148617,0.47919212439724557,0.4379714661827228,0.34380109701994466,0.6071404048394038,0.47708884165957627,-0.13016356202300955,-0.1895437437923878,-0.15395322724069965,-0.1626591137692002,-0.1868591599543552,-0.11582099857964294,0.24190771163666508,-0.22312856101618878,-0.04969514572627362,-0.24668482857665344,-0.08197760404537405
short_passing,-0.17536769069138677,0.11074862399467619,0.13661812915308136,0.08100708559765352,0.460343641188736,0.3699267019747888,0.5043323310045258,0.4960325189369472,0.38009596849182,0.31959424567684214,0.7149570042641402,0.5685853501904284,0.5025990483353026,1.0,0.840095481188989,0.5605695689167552,0.6365922048721963,0.33328111757501655,0.2965478486001317,0.7506329869228328,0.8062644524963478,0.7475077168764375,0.3319844492082289,0.13841692185375512,0.3212719539653717,0.3022128561149882,0.2680290919477986,0.15026115790871672,0.4154701222034931,0.026087821165484575,0.3238494620871539,-0.1037642384998613,-0.030940707206420056
long_passing,-0.15722162923680014,-0.022090549061119385,0.012224127586149873,-0.04852978161146539,0.25578350696721136,0.15602181581734567,0.35208928071694473,0.3530216851197718,0.18303731561274827,0.13324511369652206,0.6175799202960333,0.5195994319241652,0.44785639783634146,0.840095481188989,1.0,0.46334428934847427,0.45223415322057714,0.2231415665202537,0.23070815439451264,0.5835515909769613,0.5954339247748826,0.6235176182791321,0.5114168855221348,0.05401220145158603,0.49193550274952097,0.48425749466495965,0.45899691052527164,0.029262932423975554,0.3738324000761426,0.0078824129881361,0.3834331658957632,-0.10729853585454384,-0.009910121778390159
curve,-0.43821594777987766,0.36060854609348486,0.41539823972618917,0.2884699044615937,0.7288108519400156,0.6547172946876221,0.6576267455564574,0.7496336541586656,0.6838284030227206,0.5735389440870182,0.7653927919312256,0.7895325394220571,0.7929808880704305,0.5605695689167552,0.46334428934847427,1.0,0.7677187726135452,0.5991166643667155,0.5285483131793975,0.41668479337005654,0.7165478691525149,0.5436376703086921,-0.114410622390752,-0.21249560338950438,-0.13526112481755156,-0.14413698425275698,-0.16635562322099662,-0.08454688283403429,0.3049789848693367,-0.26905428082894145,-0.040437727628142905,-0.30801909911632497,0.06346632760299263
dribbling,-0.4406748569930777,0.5104775492496391,0.5514357805361799,0.438546898020408,0.8080228741138016,0.7219494551850459,0.6471334874108975,0.7360339805870479,0.6668777878932547,0.5574129142061788,0.7963290184586509,0.7260101702524266,0.6234843806148617,0.6365922048721963,0.45223415322057714,0.7677187726135452,1.0,0.6912470410686729,0.5745680585140135,0.5039513197973515,0.8789228611911687,0.57837781991133,-0.1971234366426062,-0.18656400771081355,-0.21962717552021055,-0.21979582397888295,-0.2418203382574905,-0.01592784286292752,0.3280446589930611,-0.277770687808471,-0.07833212444228134,-0.3335194896782268,0.047371005228499886
agility,-0.6562755352422324,0.6972628196535595,0.7672512842554079,0.5874653643465207,0.5922703027799003,0.5235994697377133,0.37595648727449993,0.5239859767779017,0.4792004490188223,0.3590984574189506,0.5611945074099116,0.5935079885806984,0.47919212439724557,0.33328111757501655,0.2231415665202537,0.5991166643667155,0.6912470410686729,1.0,0.7979587645368773,0.20560067059136947,0.5555550564272819,0.2746956633967109,-0.24193885201578708,-0.4403292161257207,-0.2673194013961739,-0.2649579435486108,-0.2674851374613682,-0.18000136143578335,0.2933330724147763,-0.5074525849866097,-0.22751213095954811,-0.5610813354735185,0.08469324980447543
balance,-0.7694028172749936,0.5566832370015923,0.6473686915195787,0.4403920896546747,0.489758030748625,0.41218599295880015,0.27234873050807634,0.4271511963655568,0.3811864875034744,0.2827689048965758,0.4900339708478118,0.543917277537342,0.4379714661827228,0.2965478486001317,0.23070815439451264,0.5285483131793975,0.5745680585140135,0.7979587645368773,1.0,0.15146692135446785,0.46179831188495907,0.22291617876233583,-0.15180153222448228,-0.47972595248401606,-0.1793781499328688,-0.16836352874620927,-0.16709402609537488,-0.3013957545559558,0.24165725581929465,-0.5768650845584433,-0.19016061470477022,-0.6480618546842086,0.0980149076230611
reactions,-0.016608028359078087,0.11307331405042159,0.10073516453427993,0.11443403828917895,0.4080257127865822,0.3351036937655231,0.4767525797457329,0.40183816718827897,0.36113456479469663,0.30707514461766877,0.5320260393118503,0.400183489560564,0.34380109701994466,0.7506329869228328,0.5835515909769613,0.41668479337005654,0.5039513197973515,0.20560067059136947,0.15146692135446785,1.0,0.6859206951630215,0.777654912602178,0.2897469285355964,0.385855165575586,0.29486983263293903,0.2522984822855355,0.21738117195130774,0.40696725844446524,0.4336512709101504,0.2459084670186976,0.42412361119490344,0.06342456658670503,-0.027669410766823506
ball_control,-0.31358918543499964,0.3547228365027144,0.38750952077405015,0.301033490818477,0.7266178320004831,0.6572808342345777,0.6578669250509713,0.695393237806633,0.6247762193943354,0.5399162512683431,0.8000813353060471,0.6593800990439543,0.6071404048394038,0.8062644524963478,0.5954339247748826,0.7165478691525149,0.8789228611911687,0.5555550564272819,0.46179831188495907,0.6859206951630215,1.0,0.7212912391693931,-0.03745922168208822,0.008830467480689606,-0.05143445764262102,-0.06700877580038962,-0.09871686375392641,0.10872973932320137,0.3702930479291846,-0.12268589552088877,0.08049783280012755,-0.2206164983658671,-0.015512225177939223
composure,-0.07815887212453657,0.08610835150236981,0.09130712491276682,0.07530843418302825,0.4843393330106426,0.43326600870734866,0.5732948595277407,0.5137824767821891,0.4743943859032532,0.42020022112213495,0.6492312119157013,0.45687816878216553,0.47708884165957627,0.7475077168764375,0.6235176182791321,0.5436376703086921,0.57837781991133,0.2746956633967109,0.22291617876233583,0.777654912602178,0.7212912391693931,1.0,0.1860379704496391,0.2752947768613052,0.19682073724572205,0.15021409478116732,0.11263011880115553,0.30080173675853833,0.3776850680735461,0.1844468664872147,0.3514414116454929,0.023260270531424477,-0.0738259165686464
interceptions,0.13253251411618777,-0.2803886897730772,-0.2860937890288362,-0.2546527008934711,-0.38420933663731904,-0.540188923902454,-0.25269204339851287,-0.32205141067682896,-0.4667348977408587,-0.4639094565812704,-0.05342928562326898,0.08727626198425616,-0.13016356202300955,0.3319844492082289,0.5114168855221348,-0.114410622390752,-0.1971234366426062,-0.24193885201578708,-0.15180153222448228,0.2897469285355964,-0.03745922168208822,0.1860379704496391,1.0,0.2062031850685932,0.9455301444537313,0.9543293817566244,0.9457801552223797,0.12632893418016158,0.2883230654552256,0.2444528920601771,0.6333756317533912,0.1077656120781003,0.18638903036144855
heading_accuracy,0.5484215370668878,-0.28352749072798894,-0.3711897429838807,-0.19048189067614774,-0.1147204385518504,-0.08268059939872263,0.1015875734639541,-0.09332417454352267,-0.025524235517486303,0.02733059112965343,-0.14318907046404833,-0.24207746256704316,-0.1895437437923878,0.13841692185375512,0.05401220145158603,-0.21249560338950438,-0.18656400771081355,-0.4403292161257207,-0.47972595248401606,0.385855165575586,0.008830467480689606,0.2752947768613052,0.2062031850685932,1.0,0.24272352230985453,0.198270764551619,0.18864584077347182,0.8075148302449005,0.08830070415607108,0.6941912212401976,0.4620001497579442,0.5465355405810833,-0.06548611533046722
def_awareness,0.16366860306238526,-0.29464644895446107,-0.3083350335976771,-0.2613101693741662,-0.4087166403957139,-0.556580328139702,-0.2582362630917571,-0.346273370089927,-0.4787815614490881,-0.4700157439677878,-0.0803899831403236,0.0661887815926098,-0.15395322724069965,0.3212719539653717,0.49193550274952097,-0.13526112481755156,-0.21962717552021055,-0.2673194013961739,-0.1793781499328688,0.29486983263293903,-0.05143445764262102,0.19682073724572205,0.9455301444537313,0.24272352230985453,1.0,0.9417857754657766,0.9392576780218632,0.15658071561802359,0.27810813893245767,0.2773770851526728,0.634613297476606,0.14242051307132103,0.18177352651969125
standing_tackle,0.14738103724559937,-0.27634151715083055,-0.2884695679467973,-0.24538897657886344,-0.4159428839171812,-0.5696804549007425,-0.28393400153873705,-0.358795100603274,-0.5001353574405304,-0.4943022714814507,-0.0898906743931969,0.06679180305987775,-0.1626591137692002,0.3022128561149882,0.48425749466495965,-0.14413698425275698,-0.21979582397888295,-0.2649579435486108,-0.16836352874620927,0.2522984822855355,-0.06700877580038962,0.15021409478116732,0.9543293817566244,0.198270764551619,0.9417857754657766,1.0,0.9764279228713785,0.114975003180566,0.2608674265545727,0.23799792250652718,0.6297620973053437,0.11645397881039703,0.19415111466915358
sliding_tackle,0.13748713373407442,-0.2685625343081598,-0.2795572133715305,-0.2392307013161379,-0.4417450488603908,-0.5996896990160283,-0.315452077697051,-0.3894266042005629,-0.5301665669579477,-0.523052958338509,-0.12452411609147962,0.05855191193184827,-0.1868591599543552,0.2680290919477986,0.45899691052527164,-0.16635562322099662,-0.2418203382574905,-0.2674851374613682,-0.16709402609537488,0.21738117195130774,-0.09871686375392641,0.11263011880115553,0.9457801552223797,0.18864584077347182,0.9392576780218632,0.9764279228713785,1.0,0.10450946868656369,0.2433248100192451,0.22144714314250205,0.6106080150511819,0.10249535507497205,0.2138570321995616
jumping,0.45108641830747886,0.10010768963992078,0.017593677110005323,0.16035439569678842,0.027612541795682524,0.03414392331441634,0.19063811276172501,0.01536935617795331,0.06310449638166031,0.07521488162691937,-0.06229361344637421,-0.09522400729534582,-0.11582099857964294,0.15026115790871672,0.029262932423975554,-0.08454688283403429,-0.01592784286292752,-0.18000136143578335,-0.3013957545559558,0.40696725844446524,0.10872973932320137,0.30080173675853833,0.12632893418016158,0.8075148302449005,0.15658071561802359,0.114975003180566,0.10450946868656369,1.0,0.29903305745678094,0.801935739896562,0.44388635348555683,0.5127374043583567,0.0014032042650919485
stamina,-0.1160609317693235,0.2687969878684005,0.26973544349546746,0.24758343048936646,0.2881037786214021,0.18042689115676164,0.25450954399880094,0.26111849856338026,0.16300510839353646,0.10321739577876918,0.3433061108047283,0.35434074840609214,0.24190771163666508,0.4154701222034931,0.3738324000761426,0.3049789848693367,0.3280446589930611,0.2933330724147763,0.24165725581929465,0.4336512709101504,0.3702930479291846,0.3776850680735461,0.2883230654552256,0.08830070415607108,0.27810813893245767,0.2608674265545727,0.2433248100192451,0.29903305745678094,1.0,0.17843133342544465,0.3390668811177391,-0.06195144216215456,0.13340796328664598
strength,0.6585577390828088,-0.3112847235450172,-0.4075027723746612,-0.20874850496848757,-0.20467474820364873,-0.17417088100222897,0.049425480500442674,-0.15148082868332732,-0.12751984079222475,-0.07983999494224849,-0.2139240421593675,-0.2991529811498361,-0.22312856101618878,0.026087821165484575,0.0078824129881361,-0.26905428082894145,-0.277770687808471,-0.5074525849866097,-0.5768650845584433,0.2459084670186976,-0.12268589552088877,0.1844468664872147,0.2444528920601771,0.6941912212401976,0.2773770851526728,0.23799792250652718,0.22144714314250205,0.801935739896562,0.17843133342544465,1.0,0.5130876881618588,0.7246482152199046,-0.06881057777932327
aggression,0.22757423378510452,-0.22619683285909056,-0.2615912739770073,-0.18067691947850312,-0.13016786360011848,-0.23112541335192283,0.04834588674213141,-0.09045350147123266,-0.16293485081660647,-0.17376875476166467,0.02867492185560003,0.02808219994131334,-0.04969514572627362,0.3238494620871539,0.3834331658957632,-0.040437727628142905,-0.07833212444228134,-0.22751213095954811,-0.19016061470477022,0.42412361119490344,0.08049783280012755,0.3514414116454929,0.6333756317533912,0.4620001497579442,0.634613297476606,0.6297620973053437,0.6106080150511819,0.44388635348555683,0.3390668811177391,0.5130876881618588,1.0,0.29364238235067996,0.08469081827802172
weight_in_kg,0.716243628487603,-0.3756127515279823,-0.45898771578072445,-0.27984487416484605,-0.26248417306259864,-0.18756777858137086,-0.02151396765565387,-0.1969750256088229,-0.1396791493827867,-0.08524893560612747,-0.2779665026475655,-0.36351769412950463,-0.24668482857665344,-0.1037642384998613,-0.10729853585454384,-0.30801909911632497,-0.3335194896782268,-0.5610813354735185,-0.6480618546842086,0.06342456658670503,-0.2206164983658671,0.023260270531424477,0.1077656120781003,0.5465355405810833,0.14242051307132103,0.11645397881039703,0.10249535507497205,0.5127374043583567,-0.06195144216215456,0.7246482152199046,0.29364238235067996,1.0,-0.10294867148816163
is_RB,-0.12969601494579902,0.15704208621211638,0.15253629840690291,0.1488911545519682,0.023724618091586186,-0.14179315505650195,-0.1356922962866098,-0.11295192434604867,-0.14432036213797755,-0.16589582546366174,-0.03663917403391089,0.23273323322112818,-0.08197760404537405,-0.030940707206420056,-0.009910121778390159,0.06346632760299263,0.047371005228499886,0.08469324980447543,0.0980149076230611,-0.027669410766823506,-0.015512225177939223,-0.0738259165686464,0.18638903036144855,-0.06548611533046722,0.18177352651969125,0.19415111466915358,0.2138570321995616,0.0014032042650919485,0.13340796328664598,-0.06881057777932327,0.08469081827802172,-0.10294867148816163,1.0
